country,date,cum_cases
Germany,2020-02-18,16
Iran,2020-02-18,0
Italy,2020-02-18,3
"Korea, South",2020-02-18,31
Spain,2020-02-18,2
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
France,2020-02-18,12
France,2020-02-18,12
France,2020-02-18,12
US,2020-02-18,13
US,2020-02-18,13
France,2020-02-18,12
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
France,2020-02-18,12
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
France,2020-02-18,12
US,2020-02-18,13
France,2020-02-18,12
US,2020-02-18,13
US,2020-02-18,13
France,2020-02-18,12
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
US,2020-02-18,13
Germany,2020-02-19,16
Iran,2020-02-19,2
Italy,2020-02-19,3
"Korea, South",2020-02-19,31
Spain,2020-02-19,2
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
US,2020-02-19,13
France,2020-02-19,12
France,2020-02-19,12
France,2020-02-19,12
US,2020-02-19,13
US,2020-02-19,13
France,2020-02-19,12
US,2020-02-19,13
