date,cum_cases
2020-01-22,555
2020-01-23,653
2020-01-24,941
2020-01-25,1434
2020-01-26,2118
2020-01-27,2927
2020-01-28,5578
2020-01-29,6166
2020-01-30,8234
2020-01-31,9927
2020-02-01,12038
2020-02-02,16787
2020-02-03,19881
2020-02-04,23892
2020-02-05,27635
2020-02-06,30817
2020-02-07,34391
2020-02-08,37120
2020-02-09,40150
2020-02-10,42762
2020-02-11,44802
2020-02-12,45221
2020-02-13,60368
2020-02-14,66885
2020-02-15,69030
2020-02-16,71224
2020-02-17,73258
2020-02-18,75136
2020-02-19,75639
2020-02-20,76197
2020-02-21,76823
2020-02-22,78579
2020-02-23,78965
2020-02-24,79568
2020-02-25,80413
2020-02-26,81395
2020-02-27,82754
2020-02-28,84120
2020-02-29,86011
2020-03-01,88369
2020-03-02,90306
2020-03-03,92840
2020-03-04,95120
2020-03-05,97882
2020-03-06,101784
2020-03-07,105821
2020-03-08,109795
2020-03-09,113561
2020-03-10,118592
2020-03-11,125865
2020-03-12,128343
2020-03-13,145193
2020-03-14,156097
2020-03-15,167449
2020-03-16,181531
2020-03-17,197146
