gender,age,health_rating,StudentIQ,no_of_courses,Marks
F,18,3,95,11,85.67
F,17,3,102,2,96.84
F,15,3,93,17,99.25
F,15,5,91,5,70.52
F,16,5,93,12,90.64
M,16,5,87,20,68.04
M,16,3,87,10,84.05
F,17,1,85,14,87.34
M,15,1,85,5,79.39
M,15,5,95,12,86.89
F,15,2,98,11,55.15
F,15,4,104,13,85.07
M,15,5,109,12,85.17
M,15,3,107,12,83.11
M,15,3,101,12,97.92
F,16,2,105,19,94.42
F,16,2,123,15,80.64
F,16,4,102,10,81.73
M,17,5,93,14,98.02
M,16,5,104,11,66.88
M,15,1,98,15,89.46
M,15,5,106,16,80.11
M,16,5,88,19,66.51
M,16,5,100,16,66.03
F,15,5,98,11,58.22
F,16,5,102,20,93.86
M,15,5,109,12,53.04
M,15,1,106,3,97.14
M,16,5,91,18,67.18
M,16,5,86,17,52.26
M,15,5,108,19,83.18
M,15,5,105,17,59.91
M,15,5,104,16,56.01
M,15,2,97,20,72.81
M,16,5,115,13,81.66
F,15,5,78,2,64.56
M,15,4,95,12,60.66
M,16,5,101,3,58.31
F,15,5,108,18,63.39
F,15,2,103,15,51.71
F,16,3,105,1,88.01
M,15,5,106,12,75.14
M,15,5,100,14,58
M,15,1,91,8,81.97
F,16,5,102,8,75.82
F,15,5,94,16,78.89
F,16,3,112,1,91.14
M,16,2,100,1,98.21
M,15,5,103,16,92.34
F,15,3,105,8,55.92
F,16,4,118,12,52.64
F,15,5,103,6,66.1
M,15,5,89,2,95.22
F,15,5,103,17,71.1
F,15,1,115,19,81.93
F,16,2,114,8,84.3
F,15,1,107,10,88.25
M,15,5,115,7,73.92
M,15,5,105,11,77.87
F,16,5,118,9,53.58
F,16,4,120,16,86.49
F,16,5,109,7,60.64
F,16,1,118,8,76.1
F,16,4,112,20,76.49
F,15,2,121,7,99.71
F,16,1,102,14,91.62
M,15,3,92,8,85.9
F,16,5,83,14,73.65
F,15,4,104,13,98.17
F,15,3,99,16,86.85
M,16,5,98,5,85.32
M,15,3,81,20,65.36
F,15,5,114,10,68.55
M,16,5,106,7,91.32
F,16,5,92,3,50.25
M,15,5,99,6,94.09
M,15,1,99,1,66.55
F,16,3,86,10,72.74
M,17,3,106,18,57.3
F,16,3,84,9,81.88
M,15,3,104,2,70.51
M,15,5,92,14,95.93
F,15,5,110,17,69.76
M,15,4,110,5,62.99
F,15,4,88,17,75.97
F,15,5,107,7,95.96
F,16,2,94,7,99.38
F,15,1,82,4,70.82
M,16,3,77,10,55.25
M,16,5,115,13,50.83
F,16,4,114,6,64.87
F,15,1,86,8,90.25
F,16,2,87,2,56.14
F,16,1,105,2,88.6
M,15,4,92,14,72.56
F,15,1,101,12,79.61
M,16,4,100,8,90.26
F,16,5,105,4,89.1
F,16,1,91,17,92.9
F,16,3,100,12,52.46
M,16,4,98,4,74.91
M,16,4,101,7,90.94
M,15,5,117,4,62.97
F,15,2,122,1,93.77
M,15,1,109,19,97.91
F,15,4,113,9,51.96
F,15,3,83,11,57.31
M,16,5,85,8,68.74
M,15,1,104,5,64.7
F,16,4,94,18,96.21
M,15,4,131,19,73.33
F,16,2,89,8,59.97
F,16,5,84,11,76.84
M,15,3,113,7,97.91
M,15,5,94,18,99.26
M,16,5,99,8,51.85
M,15,2,101,17,53.78
M,16,5,86,19,79.22
M,17,5,97,12,56.61
M,15,4,108,10,99.75
F,15,1,109,7,66.05
M,15,5,99,4,69.17
F,16,5,104,9,99.12
M,16,5,88,15,92.32
F,16,5,84,11,84.43
M,15,5,107,13,95.27
F,15,1,95,3,79.4
